,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
89,2018-01-04 17:53:00,68 °F,52 °F,56 %,ESE,3 mph,0 mph,29.28 in,0.0 in,Fair
90,2018-01-04 18:53:00,66 °F,52 °F,60 %,CALM,0 mph,0 mph,29.27 in,0.0 in,Fair
91,2018-01-04 19:53:00,64 °F,49 °F,58 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Fair
92,2018-01-04 20:53:00,61 °F,51 °F,70 %,N,3 mph,0 mph,29.32 in,0.0 in,Partly Cloudy
93,2018-01-04 21:53:00,61 °F,50 °F,67 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Cloudy
94,2018-01-04 22:53:00,61 °F,50 °F,67 %,N,3 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy
95,2018-01-04 23:53:00,61 °F,48 °F,62 %,NW,5 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy
96,2018-01-05 00:53:00,61 °F,50 °F,67 %,WNW,5 mph,0 mph,29.34 in,0.0 in,Partly Cloudy
97,2018-01-05 01:53:00,59 °F,48 °F,67 %,WNW,3 mph,0 mph,29.33 in,0.0 in,Fair
98,2018-01-05 02:53:00,56 °F,48 °F,75 %,S,3 mph,0 mph,29.33 in,0.0 in,Partly Cloudy
99,2018-01-05 03:53:00,57 °F,51 °F,81 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Partly Cloudy
100,2018-01-05 04:53:00,54 °F,50 °F,86 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Partly Cloudy
101,2018-01-05 05:53:00,56 °F,53 °F,90 %,NW,3 mph,0 mph,29.32 in,0.0 in,Fair
102,2018-01-05 06:53:00,55 °F,51 °F,86 %,W,5 mph,0 mph,29.33 in,0.0 in,Fair
103,2018-01-05 07:53:00,56 °F,51 °F,84 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair
104,2018-01-05 08:53:00,61 °F,55 °F,81 %,WSW,3 mph,0 mph,29.36 in,0.0 in,Fair
105,2018-01-05 09:53:00,65 °F,54 °F,68 %,SW,3 mph,0 mph,29.37 in,0.0 in,Fair
106,2018-01-05 10:53:00,69 °F,56 °F,63 %,SSE,5 mph,0 mph,29.37 in,0.0 in,Fair
107,2018-01-05 11:53:00,71 °F,56 °F,59 %,VAR,3 mph,0 mph,29.34 in,0.0 in,Fair
108,2018-01-05 12:53:00,73 °F,56 °F,55 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fair
109,2018-01-05 13:53:00,73 °F,55 °F,53 %,SE,3 mph,0 mph,29.30 in,0.0 in,Fair
110,2018-01-05 14:53:00,72 °F,56 °F,57 %,SSW,9 mph,0 mph,29.29 in,0.0 in,Partly Cloudy
111,2018-01-05 15:53:00,70 °F,56 °F,61 %,S,7 mph,0 mph,29.30 in,0.0 in,Mostly Cloudy
112,2018-01-05 16:53:00,67 °F,58 °F,73 %,S,5 mph,0 mph,29.32 in,0.0 in,Cloudy
113,2018-01-05 17:53:00,66 °F,58 °F,75 %,E,5 mph,0 mph,29.33 in,0.0 in,Cloudy
114,2018-01-05 18:53:00,64 °F,59 °F,84 %,SSE,5 mph,0 mph,29.32 in,0.0 in,Cloudy
115,2018-01-05 19:53:00,64 °F,59 °F,84 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Fair
116,2018-01-05 20:53:00,62 °F,59 °F,90 %,CALM,0 mph,0 mph,29.34 in,0.0 in,Fair
117,2018-01-05 21:53:00,63 °F,59 °F,87 %,NW,3 mph,0 mph,29.35 in,0.0 in,Cloudy
118,2018-01-05 22:53:00,61 °F,58 °F,90 %,S,3 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy
119,2018-01-05 23:53:00,61 °F,58 °F,90 %,ENE,3 mph,0 mph,29.32 in,0.0 in,Cloudy
120,2018-01-06 00:53:00,60 °F,57 °F,90 %,E,3 mph,0 mph,29.29 in,0.0 in,Cloudy
121,2018-01-06 01:53:00,60 °F,57 °F,90 %,N,3 mph,0 mph,29.30 in,0.0 in,Cloudy
122,2018-01-06 02:53:00,60 °F,57 °F,90 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Cloudy
123,2018-01-06 03:53:00,58 °F,55 °F,90 %,WSW,5 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy
124,2018-01-06 04:53:00,58 °F,54 °F,87 %,CALM,0 mph,0 mph,29.28 in,0.0 in,Fair
125,2018-01-06 05:53:00,58 °F,55 °F,90 %,N,7 mph,0 mph,29.29 in,0.0 in,Cloudy
126,2018-01-06 06:53:00,59 °F,55 °F,87 %,N,6 mph,0 mph,29.31 in,0.0 in,Cloudy
127,2018-01-06 07:53:00,60 °F,54 °F,80 %,VAR,3 mph,0 mph,29.31 in,0.0 in,Cloudy
128,2018-01-06 08:53:00,60 °F,56 °F,86 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Cloudy
129,2018-01-06 09:53:00,62 °F,55 °F,78 %,E,3 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy
130,2018-01-06 10:53:00,66 °F,55 °F,68 %,VAR,3 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy
131,2018-01-06 11:53:00,69 °F,55 °F,61 %,SSE,5 mph,0 mph,29.29 in,0.0 in,Partly Cloudy
132,2018-01-06 12:53:00,70 °F,56 °F,61 %,S,8 mph,0 mph,29.26 in,0.0 in,Fair
133,2018-01-06 13:53:00,69 °F,56 °F,63 %,S,9 mph,0 mph,29.25 in,0.0 in,Cloudy
134,2018-01-06 14:53:00,70 °F,53 °F,55 %,S,8 mph,0 mph,29.24 in,0.0 in,Fair
135,2018-01-06 15:53:00,66 °F,56 °F,70 %,S,8 mph,0 mph,29.25 in,0.0 in,Cloudy
136,2018-01-06 16:53:00,64 °F,57 °F,78 %,SSW,3 mph,0 mph,29.25 in,0.0 in,Fair
137,2018-01-06 17:53:00,64 °F,57 °F,78 %,ESE,3 mph,0 mph,29.26 in,0.0 in,Fair
138,2018-01-06 18:53:00,62 °F,58 °F,86 %,SE,3 mph,0 mph,29.25 in,0.0 in,Fair
139,2018-01-06 19:53:00,61 °F,58 °F,90 %,E,5 mph,0 mph,29.26 in,0.0 in,Fair
140,2018-01-06 20:53:00,60 °F,58 °F,93 %,E,3 mph,0 mph,29.26 in,0.0 in,Fair
141,2018-01-06 21:53:00,59 °F,58 °F,96 %,E,3 mph,0 mph,29.26 in,0.0 in,Fair
142,2018-01-06 22:53:00,59 °F,58 °F,96 %,ESE,3 mph,0 mph,29.26 in,0.0 in,Fair
143,2018-01-06 23:53:00,58 °F,58 °F,100 %,CALM,0 mph,0 mph,29.25 in,0.0 in,Fair
144,2018-01-07 00:53:00,57 °F,57 °F,100 %,NNW,3 mph,0 mph,29.24 in,0.0 in,Fair
145,2018-01-07 01:53:00,57 °F,55 °F,93 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
146,2018-01-07 02:53:00,56 °F,54 °F,93 %,NNE,3 mph,0 mph,29.25 in,0.0 in,Fair
147,2018-01-07 03:53:00,54 °F,54 °F,100 %,N,6 mph,0 mph,29.24 in,0.0 in,Fair
148,2018-01-07 04:53:00,53 °F,53 °F,100 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
